timestamp,raw_value,attention,meditation,blink,label
1646609407.678582,232,34,34,0,2
1646609407.6786351,229,34,34,0,2
1646609407.678873,214,34,34,0,2
1646609407.678983,228,34,34,0,2
1646609407.679092,227,34,34,0,2
1646609407.6791391,178,34,34,0,2
1646609407.679181,136,34,34,0,2
1646609407.679222,137,34,34,0,2
1646609407.6792629,166,34,34,0,2
1646609407.679303,199,34,34,0,2
1646609407.6793442,202,34,34,0,2
1646609407.679384,196,34,34,0,2
1646609407.679424,219,34,34,0,2
1646609407.679465,257,34,34,0,2
1646609407.6795058,264,34,34,0,2
1646609407.6795468,251,34,34,0,2
1646609407.6795871,228,34,34,0,2
1646609407.679627,181,34,34,0,2
1646609407.67968,133,34,34,0,2
1646609407.679713,76,34,34,0,2
1646609407.6797462,58,34,34,0,2
1646609407.679779,54,34,34,0,2
1646609407.680434,2,34,34,0,2
1646609407.6819189,-19,34,34,0,2
1646609407.6842089,-28,34,34,0,2
1646609407.6853461,-82,34,34,0,2
1646609407.6880598,-92,34,34,0,2
1646609407.6892722,-34,34,34,0,2
1646609407.6919549,-55,34,34,0,2
1646609407.694035,-71,34,34,0,2
1646609407.695214,-60,34,34,0,2
1646609407.6982248,-77,34,34,0,2
1646609407.6992588,-91,34,34,0,2
1646609407.7031648,-90,34,34,0,2
1646609407.704175,-97,34,34,0,2
1646609407.705567,-50,34,34,0,2
1646609407.7067862,-5,34,34,0,2
1646609407.7094321,8,34,34,0,2
1646609407.711515,-19,34,34,0,2
1646609407.7130182,-40,34,34,0,2
1646609407.715594,-36,34,34,0,2
1646609407.716845,-66,34,34,0,2
1646609407.7194822,-90,34,34,0,2
1646609407.721803,-98,34,34,0,2
1646609407.722847,-109,34,34,0,2
1646609407.725465,-125,34,34,0,2
1646609407.726609,-102,34,34,0,2
1646609407.7290518,-52,34,34,0,2
1646609407.730571,-10,34,34,0,2
1646609407.733052,35,34,34,0,2
1646609407.7356439,29,34,34,0,2
1646609407.736633,-21,34,34,0,2
1646609407.737994,-49,34,34,0,2
1646609407.740525,-38,34,34,0,2
1646609407.742962,-75,34,34,0,2
1646609407.743994,-151,34,34,0,2
1646609407.7470021,-182,34,34,0,2
1646609407.74778,-166,34,34,0,2
1646609407.7501702,-134,34,34,0,2
1646609407.752656,-87,34,34,0,2
1646609407.754028,-53,34,34,0,2
1646609407.7577631,-26,34,34,0,2
1646609407.7590861,-23,34,34,0,2
1646609407.760319,2,34,34,0,2
1646609407.762732,8,34,34,0,2
1646609407.765205,12,34,34,0,2
1646609407.766421,9,34,34,0,2
1646609407.767651,-30,34,34,0,2
1646609407.7701561,-66,34,34,0,2
1646609407.7714,-8,34,34,0,2
1646609407.775418,22,34,34,0,2
1646609407.7779682,-58,34,34,0,2
1646609407.778023,-93,34,34,0,2
1646609407.7790499,-38,34,34,0,2
1646609407.781749,6,34,34,0,2
1646609407.784193,-19,34,34,0,2
1646609407.785505,-57,34,34,0,2
1646609407.788039,-56,34,34,0,2
1646609407.789102,-27,34,34,0,2
1646609407.791907,0,34,34,0,2
1646609407.792902,-54,34,34,0,2
1646609407.795255,-100,34,34,0,2
1646609407.797825,-81,34,34,0,2
1646609407.798913,-61,34,34,0,2
1646609407.800666,-81,34,34,0,2
1646609407.8030488,-90,34,34,0,2
1646609407.805535,-60,34,34,0,2
1646609407.806835,-24,34,34,0,2
1646609407.809398,-41,34,34,0,2
1646609407.810373,-55,34,34,0,2
1646609407.812989,-25,34,34,0,2
1646609407.814239,-11,34,34,0,2
1646609407.816653,-8,34,34,0,2
1646609407.819324,-5,34,34,0,2
1646609407.820323,21,34,34,0,2
1646609407.823138,18,34,34,0,2
1646609407.8242052,-29,34,34,0,2
1646609407.826726,-57,34,34,0,2
1646609407.829191,-29,34,34,0,2
1646609407.830567,19,34,34,0,2
1646609407.831546,84,34,34,0,2
1646609407.8343701,115,34,34,0,2
1646609407.83666,91,34,34,0,2
1646609407.838082,34,34,34,0,2
1646609407.840543,-9,34,34,0,2
1646609407.8419049,4,34,34,0,2
1646609407.844002,54,34,34,0,2
1646609407.846831,64,34,34,0,2
1646609407.84791,18,34,34,0,2
1646609407.850573,-17,34,34,0,2
1646609407.851797,5,34,34,0,2
1646609407.854292,51,34,34,0,2
1646609407.855478,146,34,34,0,2
1646609407.858183,209,34,34,0,2
1646609407.8603468,164,34,34,0,2
1646609407.861502,141,34,34,0,2
1646609407.862993,134,34,34,0,2
1646609407.865521,96,34,34,0,2
1646609407.868124,25,34,34,0,2
1646609407.869236,-33,34,34,0,2
1646609407.871763,-22,34,34,0,2
1646609407.8729339,17,34,34,0,2
1646609407.941034,-8,34,34,0,2
1646609407.9418979,-21,34,34,0,2
1646609407.959845,26,34,34,0,2
1646609407.963018,100,34,34,0,2
1646609407.963114,177,34,34,0,2
1646609407.9632,183,34,34,0,2
1646609407.963368,170,34,34,0,2
1646609407.9634612,220,34,34,0,2
1646609407.963546,289,34,34,0,2
1646609407.963628,274,34,34,0,2
1646609407.96371,224,34,34,0,2
1646609407.9637911,236,34,34,0,2
1646609407.9638798,217,34,34,0,2
1646609407.963962,140,34,34,0,2
1646609407.964134,120,34,34,0,2
1646609407.964227,156,34,34,0,2
1646609407.9643111,213,34,34,0,2
1646609407.964393,262,34,34,0,2
1646609407.9644742,299,34,34,0,2
1646609407.964751,296,34,34,0,2
1646609407.965062,291,34,34,0,2
1646609407.965153,348,34,34,0,2
1646609407.9652102,396,34,34,0,2
1646609407.9652638,343,34,34,0,2
1646609407.965317,236,34,34,0,2
1646609407.9653702,145,34,34,0,2
1646609407.965423,138,34,34,0,2
1646609407.965536,178,34,34,0,2
1646609407.9655979,173,34,34,0,2
1646609407.965707,135,34,34,0,2
1646609407.965895,132,34,34,0,2
1646609407.9659579,160,34,34,0,2
1646609407.9660108,168,34,34,0,2
1646609407.9660642,210,34,34,0,2
1646609407.966177,240,34,34,0,2
1646609407.9662368,215,34,34,0,2
1646609407.966292,184,34,34,0,2
1646609407.966346,140,34,34,0,2
1646609407.976199,99,34,34,0,2
1646609407.976341,89,34,34,0,2
1646609407.976484,117,34,34,0,2
1646609407.9765692,164,34,34,0,2
1646609407.976661,241,34,34,0,2
1646609407.976795,261,34,34,0,2
1646609407.9769459,220,34,34,0,2
1646609407.9784331,212,34,34,0,2
1646609407.979386,224,34,34,0,2
1646609407.982275,197,34,34,0,2
1646609407.983456,137,34,34,0,2
1646609407.983548,137,34,34,0,2
1646609407.9836318,171,34,34,0,2
1646609407.983715,146,34,34,0,2
1646609407.983797,72,34,34,0,2
1646609407.9838789,34,34,34,0,2
1646609407.985806,38,34,34,0,2
1646609407.987228,83,34,34,0,2
1646609407.98816,109,34,34,0,2
1646609407.989204,67,34,34,0,2
1646609407.9906209,1,34,34,0,2
1646609407.991671,-51,34,34,0,2
1646609407.992846,-81,34,34,0,2
1646609407.994241,-90,34,34,0,2
1646609407.9965608,-100,34,34,0,2
1646609407.999103,-81,34,34,0,2
1646609408.0001879,-41,34,34,0,2
1646609408.0014982,-76,34,34,0,2
1646609408.0040698,-109,34,34,0,2
1646609408.006751,-84,34,34,0,2
1646609408.007991,-46,34,34,0,2
1646609408.0109298,-37,34,34,0,2
1646609408.011737,-39,34,34,0,2
1646609408.0141902,-70,34,34,0,2
1646609408.016839,-74,34,34,0,2
1646609408.018008,-18,34,34,0,2
1646609408.019364,35,34,34,0,2
1646609408.021791,6,34,34,0,2
1646609408.0243871,-74,34,34,0,2
1646609408.025291,-125,34,34,0,2
1646609408.0278652,-86,34,34,0,2
1646609408.028983,-21,34,34,0,2
1646609408.031722,-25,34,34,0,2
1646609408.0331578,-67,34,34,0,2
1646609408.035389,-3,34,34,0,2
1646609408.037987,39,34,34,0,2
1646609408.039119,17,34,34,0,2
1646609408.041528,24,34,34,0,2
1646609408.042791,-18,34,34,0,2
1646609408.0759628,-88,17,67,0,2
1646609408.0771992,-117,17,67,0,2
1646609408.078351,-125,17,67,0,2
1646609408.079276,-142,17,67,0,2
1646609408.082738,-120,17,67,0,2
1646609408.0828009,-72,17,67,0,2
1646609408.082856,-9,17,67,0,2
1646609408.08291,99,17,67,0,2
1646609408.082963,217,17,67,0,2
1646609408.083016,218,17,67,0,2
1646609408.08307,176,17,67,0,2
1646609408.083122,179,17,67,0,2
1646609408.083175,227,17,67,0,2
1646609408.0832279,230,17,67,0,2
1646609408.0832798,205,17,67,0,2
1646609408.083333,180,17,67,0,2
1646609408.08344,140,17,67,0,2
1646609408.0834932,140,17,67,0,2
